iter	Passed	Remaining
356	33234	59859
357	33297	59711
358	33388	59614
359	33531	59611
360	33638	59543
361	33737	59460
362	33839	59382
363	33947	59314
364	34013	59173
365	34164	59180
366	34227	59035
367	34311	58925
368	34343	58728
369	34390	58556
370	34432	58377
371	34490	58226
372	34552	58080
373	34637	57976
374	34713	57856
375	34778	57717
376	34872	57627
377	34970	57544
378	35057	57442
379	35155	57359
380	35275	57311
381	35361	57207
382	35478	57154
383	35553	57033
384	35597	56864
385	35657	56719
386	35708	56561
387	35764	56412
388	35826	56272
389	35928	56195
390	36048	56147
391	36088	55974
392	36127	55799
393	36165	55624
394	36214	55468
395	36295	55359
396	36353	55217
397	36406	55066
398	36534	55030
399	36633	54950
400	36704	54827
401	36828	54784
402	36904	54669
403	36980	54556
404	37088	54488
405	37147	54349
406	37194	54191
407	37283	54098
408	37314	53918
409	37386	53799
410	37458	53681
411	37503	53523
412	37577	53408
413	37647	53288
414	37706	53152
415	37817	53089
416	37907	52997
417	38014	52929
418	38078	52800
419	38250	52822
420	38324	52707
421	38427	52632
422	38486	52497
423	38529	52341
424	38560	52170
425	38590	51998
426	38615	51818
427	38652	51657
428	38693	51501
429	38750	51367
430	38815	51243
431	38889	51132
432	38961	51018
433	39023	50892
434	39098	50782
435	39166	50664
436	39308	50641
437	39424	50586
438	39585	50586
439	39685	50509
440	39755	50393
441	39852	50311
442	39965	50249
443	40092	50206
444	40141	50064
445	40183	49913
446	40277	49829
447	40394	49771
448	40451	49640
449	40522	49527
450	40605	49428
451	40645	49278
452	40716	49165
453	40776	49039
454	40877	48962
455	40986	48896
456	41128	48868
457	41292	48865
458	41420	48820
459	41524	48745
460	41628	48672
461	41707	48568
462	41785	48464
463	41846	48339
464	41917	48227
465	41975	48100
466	42053	47996
467	42094	47850
468	42152	47724
469	42270	47666
470	42327	47540
471	42400	47430
472	42452	47299
473	42511	47174
474	42568	47049
475	42645	46945
476	42719	46838
477	42868	46814
478	42956	46723
479	43065	46654
480	43151	46560
481	43277	46509
482	43370	46423
483	43445	46318
484	43537	46230
485	43613	46126
486	43745	46081
487	43823	45978
488	43908	45884
489	43963	45758
490	44010	45623
491	44043	45475
492	44084	45335
493	44116	45188
494	44141	45033
495	44190	44903
496	44247	44781
497	44292	44648
498	44329	44507
499	44362	44362
500	44401	44224
501	44449	44095
502	44515	43984
503	44562	43855
504	44672	43787
505	44830	43767
506	44914	43674
507	44987	43570
508	45119	43524
509	45239	43465
510	45318	43367
511	45375	43248
512	45435	43132
513	45529	43049
514	45636	42978
515	45730	42894
516	45806	42793
517	45948	42755
518	46049	42677
519	46185	42632
520	46336	42601
521	46430	42516
522	46494	42405
523	46649	42376
524	46717	42267
525	46773	42149
526	46821	42023
527	46847	41878
528	46885	41744
529	46924	41612
530	46960	41477
531	47008	41353
532	47103	41271
533	47211	41199
534	47274	41089
535	47304	40949
536	47329	40807
537	47356	40666
538	47382	40525
539	47410	40386
540	47453	40260
541	47486	40126
542	47516	39990
543	47559	39865
544	47684	39809
545	47783	39731
546	47894	39663
547	47974	39570
548	48058	39479
549	48119	39370
550	48157	39242
551	48220	39135
552	48258	39008
553	48348	38922
554	48426	38828
555	48543	38765
556	48676	38714
557	48751	38617
558	48843	38533
559	48927	38442
560	48990	38336
561	49113	38277
562	49236	38217
563	49310	38119
564	49394	38029
565	49505	37960
566	49586	37867
567	49672	37778
568	49755	37688
569	49833	37593
570	49937	37518
571	50056	37455
572	50221	37425
573	50367	37380
574	50468	37302
575	50585	37236
576	50660	37139
577	50851	37126
578	51016	37094
579	51102	37004
580	51252	36961
581	51459	36959
582	51535	36861
583	51611	36764
584	51683	36664
585	51775	36578
586	51853	36483
587	51972	36416
588	52229	36445
589	52375	36396
590	52529	36352
591	52604	36254
592	52667	36147
593	52713	36029
594	52869	35986
595	53066	35971
596	53117	35856
597	53249	35796
598	53429	35768
599	53564	35709
600	53674	35634
601	53777	35553
602	53941	35513
603	54017	35415
604	54257	35424
605	54310	35310
606	54374	35204
607	54460	35112
608	54528	35009
609	54615	34917
610	54687	34817
611	54746	34708
612	54900	34659
613	55007	34581
614	55167	34535
615	55330	34491
616	55541	34477
617	55835	34513
618	55899	34406
619	55967	34302
620	56041	34202
621	56138	34116
622	56213	34017
623	56288	33917
624	56311	33786
625	56336	33658
626	56361	33529
627	56386	33401
628	56426	33281
629	56484	33173
630	56542	33065
631	56599	32956
632	56706	32877
633	56833	32809
634	56932	32724
635	57049	32651
636	57108	32543
637	57219	32466
638	57271	32355
639	57318	32241
640	57385	32139
641	57459	32041
642	57506	31928
643	57546	31811
644	57590	31697
645	57628	31579
646	57662	31460
647	57714	31351
648	57764	31240
649	57801	31124
650	57857	31017
651	57941	30925
652	58006	30824
653	58161	30770
654	58295	30705
655	58411	30630
656	58507	30544
657	58573	30444
658	58786	30419
659	58907	30346
660	58983	30250
661	59028	30138
662	59076	30028
663	59123	29917
664	59173	29809
665	59223	29700
666	59273	29592
667	59336	29490
668	59396	29387
669	59435	29274
670	59513	29180
671	59563	29072
672	59621	28969
673	59676	28864
674	59766	28776
675	59862	28691
676	60024	28638
677	60169	28576
678	60289	28502
679	60371	28409
680	60475	28328
681	60663	28286
682	60843	28239
683	60923	28145
684	61001	28051
685	61065	27951
686	61129	27851
687	61203	27755
688	61312	27675
689	61450	27607
690	61583	27538
691	61660	27444
692	61765	27362
693	61863	27276
694	61976	27198
695	62116	27131
696	62264	27067
697	62356	26979
698	62445	26889
699	62514	26792
700	62623	26710
701	62729	26628
702	62812	26536
703	62900	26446
704	62955	26343
705	63026	26246
706	63109	26154
707	63163	26050
708	63267	25967
709	63337	25870
710	63418	25777
711	63473	25674
712	63527	25571
713	63588	25471
714	63646	25369
715	63701	25267
716	63774	25171
717	63917	25104
718	64061	25036
719	64182	24959
720	64244	24860
721	64305	24760
722	64370	24662
723	64429	24561
724	64575	24494
725	64835	24469
726	65159	24468
727	65386	24430
728	65477	24340
729	65756	24320
730	65850	24232
731	65937	24141
732	66043	24056
733	66104	23956
734	66168	23856
735	66222	23753
736	66263	23646
737	66293	23535
738	66346	23432
739	66381	23323
740	66426	23217
741	66475	23114
742	66509	23005
743	66535	22894
744	66560	22782
745	66586	22671
746	66633	22567
747	66664	22459
748	66691	22349
749	66722	22240
750	66755	22133
751	66864	22051
752	66970	21967
753	67073	21883
754	67236	21818
755	67296	21719
756	67470	21658
757	67573	21573
758	67635	21475
759	67695	21377
760	67755	21279
761	67824	21184
762	67896	21089
763	67971	20996
764	68036	20900
765	68103	20804
766	68174	20710
767	68211	20605
768	68255	20503
769	68316	20406
770	68381	20310
771	68446	20214
772	68552	20131
773	68626	20038
774	68735	19955
775	68803	19860
776	68864	19764
777	68935	19670
778	68987	19571
779	69037	19472
780	69112	19379
781	69158	19279
782	69186	19174
783	69242	19076
784	69298	18979
785	69371	18887
786	69406	18784
787	69455	18686
788	69501	18586
789	69523	18481
790	69567	18381
791	69611	18281
792	69690	18191
793	69830	18117
794	69936	18033
795	70063	17955
796	70191	17878
797	70288	17792
798	70395	17708
799	70536	17634
800	70635	17548
801	70701	17455
802	70778	17364
803	70899	17284
804	70935	17183
805	70965	17081
806	71020	16985
807	71077	16889
808	71200	16809
809	71283	16720
810	71358	16629
811	71437	16539
812	71498	16445
813	71606	16362
814	71701	16275
815	71813	16193
816	71889	16102
817	71995	16018
818	72070	15927
819	72199	15848
820	72287	15760
821	72351	15667
822	72378	15566
823	72434	15471
824	72479	15374
825	72543	15281
826	72586	15184
827	72616	15084
828	72641	14983
829	72681	14886
830	72754	14796
831	72820	14704
832	72933	14621
833	73017	14533
834	73143	14453
835	73245	14368
836	73331	14280
837	73443	14197
838	73545	14113
839	73636	14026
840	73677	13929
841	73720	13833
842	73763	13737
843	73803	13641
844	73841	13544
845	73878	13448
846	73927	13353
847	74032	13269
848	74132	13184
849	74197	13093
850	74296	13008
851	74348	12914
852	74400	12821
853	74452	12728
854	74499	12634
855	74554	12541
856	74646	12455
857	74730	12368
858	74801	12278
859	74881	12190
860	74958	12101
861	75060	12016
862	75196	11937
863	75267	11847
864	75297	11751
865	75326	11655
866	75354	11559
867	75389	11464
868	75411	11368
869	75435	11271
870	75457	11175
871	75481	11079
872	75510	10984
873	75540	10890
874	75565	10795
875	75610	10702
876	75642	10608
877	75666	10514
878	75749	10427
879	75832	10340
880	75913	10253
881	75981	10165
882	76090	10082
883	76177	9996
884	76268	9910
885	76358	9824
886	76464	9741
887	76548	9654
888	76625	9567
889	76663	9475
890	76719	9385
891	76751	9292
892	76786	9200
893	76831	9109
894	76910	9023
895	77005	8938
896	77059	8848
897	77133	8761
898	77183	8671
899	77225	8580
900	77278	8491
901	77379	8407
902	77467	8321
903	77578	8238
904	77695	8155
905	77783	8070
906	77892	7986
907	77995	7902
908	78086	7817
909	78221	7736
910	78271	7646
911	78303	7555
912	78337	7464
913	78382	7375
914	78415	7284
915	78456	7194
916	78480	7103
917	78501	7012
918	78527	6921
919	78555	6830
920	78576	6739
921	78604	6649
922	78643	6560
923	78674	6471
924	78704	6381
925	78742	6292
926	78788	6204
927	78830	6116
928	78890	6029
929	78947	5942
930	79031	5857
931	79192	5777
932	79289	5693
933	79402	5610
934	79511	5527
935	79608	5443
936	79701	5358
937	79809	5275
938	79904	5190
939	79962	5103
940	80063	5019
941	80128	4933
942	80198	4847
943	80225	4759
944	80323	4674
945	80374	4587
946	80416	4500
947	80447	4412
948	80478	4324
949	80563	4240
950	80625	4154
951	80700	4068
952	80790	3984
953	80902	3900
954	81001	3816
955	81137	3734
956	81241	3650
957	81330	3565
958	81427	3481
959	81519	3396
960	81651	3313
961	81739	3228
962	81832	3144
963	81950	3060
964	82026	2975
965	82077	2888
966	82186	2804
967	82244	2718
968	82321	2633
969	82386	2548
970	82432	2461
971	82474	2375
972	82523	2289
973	82573	2204
974	82650	2119
975	82761	2035
976	82852	1950
977	82964	1866
978	83055	1781
979	83159	1697
980	83266	1612
981	83381	1528
982	83463	1443
983	83537	1358
984	83616	1273
985	83702	1188
986	83787	1103
987	83872	1018
988	83964	933
989	84047	848
990	84177	764
991	84250	679
992	84336	594
993	84397	509
994	84568	424
995	84609	339
996	84673	254
997	84703	169
998	84726	84
999	84747	0
