iter	Logloss
0	0.6740861418
1	0.6572494251
2	0.642418717
3	0.6295703221
4	0.6187766994
5	0.6081116158
6	0.5990162486
7	0.5906890293
8	0.5836799187
9	0.5773251801
10	0.5715474748
11	0.5661257422
12	0.5615817605
13	0.5573367568
14	0.553474257
15	0.5499045668
16	0.5469961764
17	0.5439759233
18	0.5413543297
19	0.5388963813
20	0.5367831628
21	0.5347505741
22	0.5329643032
23	0.5309491845
24	0.5293552252
25	0.5278419585
26	0.5264644238
27	0.5253276277
28	0.524179035
29	0.5231257989
30	0.5220597747
31	0.5209376515
32	0.5200151037
33	0.5191127209
34	0.5183063186
35	0.517601402
36	0.5168619684
37	0.5162026509
38	0.5154917765
39	0.5147804788
40	0.5142308857
41	0.513637555
42	0.5130434359
43	0.5125056127
44	0.5119032656
45	0.5113883192
46	0.5109925106
47	0.5106352981
48	0.5102714451
49	0.5098460956
50	0.5094808781
51	0.5091387478
52	0.5087883328
53	0.5084470321
54	0.5081844655
55	0.5079463504
56	0.5076183886
57	0.5073716655
58	0.5071132675
59	0.5068104643
60	0.5065584556
61	0.5063475827
62	0.5060914948
63	0.505893251
64	0.5056844103
65	0.5055059324
66	0.5053492718
67	0.5051147741
68	0.5049360359
69	0.5047422929
70	0.5046017748
71	0.504441029
72	0.5042562829
73	0.5040996483
74	0.503917846
75	0.5037802696
76	0.5036455326
77	0.5034921088
78	0.5033711873
79	0.5032612977
80	0.503106198
81	0.5029860685
82	0.5028385259
83	0.5027331469
84	0.5026073547
85	0.502503491
86	0.5023671598
87	0.5022284593
88	0.5021153192
89	0.5020086164
90	0.5018990708
91	0.501790602
92	0.5017033333
93	0.5015850431
94	0.5014977958
95	0.5013730046
96	0.5012735403
97	0.5011521259
98	0.5010366835
99	0.5009486311
100	0.5008771026
101	0.5007632778
102	0.5006759235
103	0.5005416649
104	0.5004440055
105	0.5003372696
106	0.5002320288
107	0.5001315913
108	0.5000185268
109	0.4999393305
110	0.4998272622
111	0.4997710029
112	0.4996639673
113	0.4995767886
114	0.4994803571
115	0.4993924297
116	0.4993071395
117	0.4992006286
118	0.4991304964
119	0.4990700963
120	0.4990007105
121	0.4989063824
122	0.4988064797
123	0.4987161427
124	0.4986376548
125	0.4985634491
126	0.498498756
127	0.4983844397
128	0.4983209928
129	0.4982251034
130	0.498152972
131	0.4980531248
132	0.4979387357
133	0.4978519457
134	0.4977570412
135	0.4976797388
136	0.4976103979
137	0.4974899722
138	0.4974261345
139	0.497410913
140	0.4973560254
141	0.4972821569
142	0.4972193269
143	0.4971571976
144	0.4970618727
145	0.4969662488
146	0.4968796824
147	0.4967850265
148	0.4967055036
149	0.4966314234
150	0.4965729733
151	0.496502262
152	0.4964343157
153	0.4963819876
154	0.4963238174
155	0.4962608342
156	0.4961551074
157	0.4960527612
158	0.4959685782
159	0.4958974063
160	0.4958424357
161	0.4957868242
162	0.4957393769
163	0.495647231
164	0.4955933154
165	0.4955094687
166	0.4954649052
167	0.4954005077
168	0.4953487724
169	0.4952959828
170	0.4952281302
171	0.4951696843
172	0.4951629596
173	0.4951132379
174	0.4950536587
175	0.4950122505
176	0.4949406066
177	0.4948966376
178	0.4948207424
179	0.4947510054
180	0.4947109212
181	0.4946303669
182	0.494556526
183	0.4945030278
184	0.4944511285
185	0.4943943649
186	0.4943190335
187	0.4942629434
188	0.4942023488
189	0.4941539496
190	0.4940626244
191	0.4939707188
192	0.4939169946
193	0.4938362967
194	0.4937132657
195	0.4936783864
196	0.493632833
197	0.4935624319
198	0.4935185671
199	0.4934240875
200	0.49336711
201	0.4932765357
202	0.4932019434
203	0.4931392258
204	0.4930922619
205	0.4930151784
206	0.4929620647
207	0.4928874155
208	0.4928121463
209	0.4927161258
210	0.4926477343
211	0.4925936065
212	0.4925189094
213	0.4924554834
214	0.4923900872
215	0.4922999782
216	0.4922469143
217	0.4921879259
218	0.4921192072
219	0.4920430312
220	0.4919337301
221	0.4918466156
222	0.491780715
223	0.4917128989
224	0.4916162248
225	0.4915651805
226	0.49150439
227	0.4914199014
228	0.4913730576
229	0.491316523
230	0.49125501
231	0.4912072519
232	0.491159184
233	0.4910513123
234	0.4910237709
235	0.4909155002
236	0.490851804
237	0.4907589197
238	0.4907013315
239	0.4906024036
240	0.4905391075
241	0.4904735247
242	0.4904146785
243	0.4903239758
244	0.4902489538
245	0.4901494772
246	0.4900849524
247	0.4900102268
248	0.4899212947
249	0.4898839662
250	0.4898060509
251	0.4897228082
252	0.4896852709
253	0.4896011223
254	0.4895072108
255	0.4894428176
256	0.4893794871
257	0.48931799
258	0.4892634923
259	0.4892228962
260	0.4891499902
261	0.4890867711
262	0.4890463592
263	0.4889872632
264	0.4889398706
265	0.488876838
266	0.4888199084
267	0.4887540141
268	0.4887123796
269	0.4886626131
270	0.488613592
271	0.4885538205
272	0.4884890997
273	0.4884144854
274	0.4883093197
275	0.4882582682
276	0.4882029529
277	0.4881535682
278	0.4880928732
279	0.4880195594
